topic_id,top_words,top_companies,framing_ethical,framing_surveillance,framing_market
0,"access, information, security, data, piam, use, personal, identity, cloudgate, compliance",www.soloinsight.com (218); www.gbgplc.com (146); www.transunion.com (109); www.omnigo.com (95); www.pingidentity.com (93); www.biocatch.com (85); www.signicat.com (59); withpersona.com (56); www.onelogin.com (56); www.fourthline.com (52),0.5536945812807882,0.08669950738916256,0.35960591133004927
1,"face, recognition, biometric, attendance, fingerprint, facial, face recognition, biometrics, control, time",www.ideco.co.za (111); english.easen-electron.com (61); www.miaxis.net (55); www.matrixaccesscontrol.com (53); mxface.ai (52); www.daon.com (48); www.mantratec.com (46); dataworksplus.com (45); www.injes.com (35); www.crucialtrak.com (35),0.30271747381205405,0.14528616972825262,0.5519963564596934
2,"demand, cctv, camera, ca, verkada, 00, video, cctv camera, skn, security",www.skntechnology.in (148); www.scylla.ai (100); kloudspot.ai (91); www.verkada.com (82); eocortex.com (67); www.i2vsys.com (49); www.revealmedia.com (34); en.horizon.ai (33); zeroeyes.com (26); www.addistechsolution.com (21),0.1644174111385668,0.17164037255274664,0.6639422163086866
3,"vantage, development, document, ai, prioxis, skills, cloud, abbyy, data, processing",www.prioxis.com (197); www.innominds.com (59); www.elementai.com (38); www.abbyy.com (32); en.deepblueai.com (28); www.infrrd.ai (26); www.chetu.com (18); www.zerone-consulting.com (17); www.ramco.com (14); www.datatang.ai (12),0.26610806125397285,0.026581912741982086,0.707310026004045
4,"fingerprint, android, bluetooth, biometric fingerprint, reader, handheld, barcode, biometric, portable, printer",www.smartfeigete.com (207); grandingworld.com (83); www.hidglobal.com (51); saltosystems.com (35); www.sekureid.com (20); www.ravirajtech.com (14); www.ideco.co.za (6); www.jiminate.com.cn (4); www.eyenetwatch.com (4); www.tacsllc.com (3),0.16666666666666666,0.05555555555555555,0.7777777777777778
5,"aml, smartsearch, money, laundering, money laundering, checks, financial, http, firms, org",www.smartsearch.com (162); www.thirdfort.com (28); secure.prm.net.au (10); www.fourthline.com (4); identance.com (3); www.gbgplc.com (3); www.signicat.com (2); www.supercom.com (2); veriface.eu (2); www.enqura.com (1),0.31372816593886466,0.028793668122270744,0.6574781659388647
6,"stripe, payments, think, really, payment, like, just, ve, going, yeah",www.everyware.com (59); stripe.com (42); www.transunion.com (12); www.accelrobotics.com (11); www.hubino.com (10); www.getzippin.com (9); grabango.com (8); pillohealth.com (5); langate.com (4); www.mantratec.com (4),0.3322818086225026,0.005257623554153523,0.6624605678233438
7,"ramco, payroll, aviation, en, ramco systems, erp, management, systems, sita, global",www.ramco.com (81); www.sita.aero (31); www.stengg.com (13); www.dgworld.com (11); www.guardforce.com.hk (5); www.nuance.com (5); www.chetu.com (3); www.verint.com (3); en.sjtu.edu.cn (3); langate.com (3),0.5624133148404993,0.05339805825242718,0.3841886269070735
8,"mitek, miteksystems, gaap, mobile, company, www, financial, miteksystems com, mitk, com",www.miteksystems.com (146); examity.com (1); www.signicat.com (1),0.35185185185185186,0.006172839506172839,0.6419753086419753
9,"gsm, gprs, wireless, cdma, rf, radio, frequency, rfid, remote, radio frequency",www.utstar.com (45); www.whoo.ai (23); www.cisco.com (20); www.ravirajtech.com (15); www.singlewire.com (11); hypernetworks.com (7); www.supercom.com (4); www.necam.com (3); www.transunion.com (1); www.thalesgroup.com (1),0.0898876404494382,0.1348314606741573,0.7752808988764045
