Topic,Words,Frequency,Timestamp
-1,"lamp, control, projectors, multimedia, mouse",12,19.0
0,"78, lamp, 3m, jack, mini",55,19.0
2,"transparency, film, transparency film, printers, ink",11,19.0
-1,"wp, security, https, data, com",2761,20.0
0,"access, data, security, time, information",8341,20.0
1,"module, students, year, level, grade",138,20.0
2,"uv, printer, printing, transparency, printers",29,20.0
3,"deck, attacked, zombie, turn, trap",32,20.0
4,"item, fobi, child, menu item, menu",29,20.0
5,"precheck, tsa, clear, tsa precheck, birth",27,20.0
6,"hero, school, students, student, behavior",24,20.0
7,"wang, zheng, lei, biomedical, liu",22,20.0
