id,company,country,year,status,bio,hist,org,media,social,gov,link,text
1,QazSmartVision.AI,Kazakhstan,,,,,,,,,,
2,Viante.AI,United Arab Emirates,,,,,,,,,,
3,Recognito,United Arab Emirates,,,,,,,,,,
4,Cloudwalk - Moontime Smart Technology,China,,,,,,,,,,
5,Paravision,United States,,,,,,,,,,
6,ROC,United States,,,,,,,,,,
7,STCON LLC,Saudi Arabia,,,,,,,,,,
8,Innovatrics,Slovakia,,,,,,,,,,
9,Toshiba,Japan,,,,,,,,,,
10,Megvii/Face++,China,,,,,,,,,,
11,Sensetime Group,China,,,,,,,,,,
12,Beijing DeepSense Technologies,China,,,,,,,,,,
13,Idemia,France,,,,,,,,,,
14,Intema-LGL Group,Luxembourg,,,,,,,,,,
15,VinBigData,Viet Nam,,,,,,,,,,
16,Incode Technologies Inc,United States,,,,,,,,,,
17,Kakao Brain,"Korea, Republic of",,,,,,,,,,
18,Panasonic R+D Center Singapore,Singapore,,,,,,,,,,
19,Samsung-SDS,"Korea, Republic of",,,,,,,,,,
20,useB,"Korea, Republic of",,,,,,,,,,
21,Alchera Inc,"Korea, Republic of",,,,,,,,,,
22,Samsung S1 Corp,"Korea, Republic of",,,,,,,,,,
23,Neurotechnology,Lithuania,,,,,,,,,,
24,CMC Univerisity,Viet Nam,,,,,,,,,,
25,Clearview AI Inc,United States,,,,,,,,,,
26,University of Surrey-CVSSP,UK,,,,,,,,,,
27,PAPIL11 S.R.O.,Czechia,,,,,,,,,,
28,EI Networks Private Ltd,India,,,,,,,,,,
29,Omnigarde Ltd,United States,,,,,,,,,,
30,Adera Global PTE,Singapore,,,,,,,,,,
31,Cubox,"Korea, Republic of",,,,,,,,,,
32,FaiceTech Ltd,UK,,,,,,,,,,
33,Vision Intelligence Center of Meituan,China,,,,,,,,,,
34,Nominder,Lithuania,,,,,,,,,,
35,FRP LLC,United States,,,,,,,,,,
36,Cybercore,Japan,,,,,,,,,,
37,Regular Biometrics Solutions,Armenia,,,,,,,,,,
38,First Credit Bureau Kazakhstan,Kazakhstan,,,,,,,,,,
39,Maxvision Technology,China,,,,,,,,,,
40,NHN Corp,"Korea, Republic of",,,,,,,,,,
41,Intel Research Group,Iceland,,,,,,,,,,
42,TNI Tech Co,Viet Nam,,,,,,,,,,
43,Pyramid Cyber Security + Forensic (P),India,,,,,,,,,,
44,Kogniza Technology,United States,,,,,,,,,,
45,Chunghwa Telecom,"Taiwan, Province of China",,,,,,,,,,
46,Armatura LLC,United States,,,,,,,,,,
47,Vietnam Posts and Telecommunications Group,Viet Nam,,,,,,,,,,
48,Hangzhuo AIlu Network Information Technology,China,,,,,,,,,,
49,Via Technologies Inc,"Taiwan, Province of China",,,,,,,,,,
50,Vocord,Russian Federation,,,,,,,,,,
51,Dactionable Technologies,Viet Nam,,,,,,,,,,
52,MB Bank,Viet Nam,,,,,,,,,,
53,IntelliVIX,"Korea, Republic of",,,,,,,,,,
54,N-Tech Lab,Russian Federation,,,,,,,,,,
55,Tech5 SA,Switzerland,,,,,,,,,,
56,Authme,"Taiwan, Province of China",,,,,,,,,,
57,Cu-Face,"Taiwan, Province of China",,,,,,,,,,
58,Suprema AI Inc,"Korea, Republic of",,,,,,,,,,
59,Enface,United Arab Emirates,,,,,,,,,,
60,HyperVerge Inc,India,,,,,,,,,,
61,Sparsh CCTV,India,,,,,,,,,,
62,DiDi ChuXing Technology,China,,,,,,,,,,
63,NextMeta Labs,India,,,,,,,,,,
64,VisionLabs,Russian Federation,,,,,,,,,,
65,Intellibrain Technological Projects,United Arab Emirates,,,,,,,,,,
66,Metsakuur,"Korea, Republic of",,,,,,,,,,
67,Cyberlink Corp,"Taiwan, Province of China",,,,,,,,,,
68,FCI Vietnam,Viet Nam,,,,,,,,,,
69,Yuan High-Tech Development,"Taiwan, Province of China",,,,,,,,,,
70,Pangiam,United States,,,,,,,,,,
71,Seventh Sense Artificial Intelligence,Singapore,,,,,,,,,,
72,Beijing Hisign Technology,China,,,,,,,,,,
73,Biometric LLC,Kazakhstan,,,,,,,,,,
74,Accurascan,India,,,,,,,,,,
75,Sightropic,Qatar,,,,,,,,,,
76,Element System Solutions Company Ltd,Thailand,,,,,,,,,,
77,Kakao Bank,"Korea, Republic of",,,,,,,,,,
78,Inspur (Beijing) Electronic Information Industry Co,China,,,,,,,,,,
79,NCS Pte Ltd,Singapore,,,,,,,,,,
80,Verigram,Kazakhstan,,,,,,,,,,
81,Viettel Group,Viet Nam,,,,,,,,,,
82,Alice Biometrics,Spain,,,,,,,,,,
83,CMC Institute of Science and Technology,Viet Nam,,,,,,,,,,
84,Wicket,United States,,,,,,,,,,
85,Guangzhou Pixel Solutions,China,,,,,,,,,,
86,Beijing Mendaxia Technology,China,,,,,,,,,,
87,Keyless Technologies,United Kingdom,,,,,,,,,,
88,KYB-AI Ltd,United Kingdom,,,,,,,,,,
89,iCOMM Media and Tech,Viet Nam,,,,,,,,,,
90,ID R\&D Inc,United States,,,,,,,,,,
91,Viettel High Technology,Viet Nam,,,,,,,,,,
92,Dahua Technology,China,,,,,,,,,,
93,Gemalto Cogent,United States,,,,,,,,,,
94,Deepglint,China,,,,,,,,,,
95,Private Identity LLC,United States,,,,,,,,,,
96,Papilon Savunma,Türkiye,,,,,,,,,,
97,Griaule,United States,,,,,,,,,,
98,AFR Engine,United States,,,,,,,,,,
99,InsightFace AI,China,,,,,,,,,,
100,GeoVision Inc,"Taiwan, Province of China",,,,,,,,,,
101,Corsight,Israel,,,,,,,,,,
102,Aiseemu Technology,China,,,,,,,,,,
103,FacePhi,Spain,,,,,,,,,,
104,IMDS Software,Canada,,,,,,,,,,
105,Canon Inc,Japan,,,,,,,,,,
106,i2v Systems,India,,,,,,,,,,
107,CTBC Bank,"Taiwan, Province of China",,,,,,,,,,
108,Dermalog,Germany,,,,,,,,,,
109,FaceOnLive Inc,Germany,,,,,,,,,,
110,IDENTY,UK,,,,,,,,,,
111,Multi-Modality Intelligence,China,,,,,,,,,,
112,Daon,Ireland,,,,,,,,,,
113,Shenzhen Polytechnic University,China,,,,,,,,,,
114,SQIsoft,"Korea, Republic of",,,,,,,,,,
115,Compal Electronics,"Taiwan, Province of China",,,,,,,,,,
116,Toppan ID Gate,"Taiwan, Province of China",,,,,,,,,,
117,InterLink labs,United States,,,,,,,,,,
118,Shanghai Jiao Tong University,China,,,,,,,,,,
119,Xforward AI Technology,China,,,,,,,,,,
120,YooniK,Portugal,,,,,,,,,,
121,Line Corporation,Japan,,,,,,,,,,
122,Candour Biometrics,Finland,,,,,,,,,,
123,SK Telecom,"Korea, Republic of",,,,,,,,,,
124,KnowUTech LLC,United States,,,,,,,,,,
125,Tevian,Russian Federation,,,,,,,,,,
126,Veridas Digital Authentication Solutions S.L.,Spain,,,,,,,,,,
127,Qnap Security,"Taiwan, Province of China",,,,,,,,,,
128,Turkcell Technology,Türkiye,,,,,,,,,,
129,Aratek Biometrics Co Ltd,China,,,,,,,,,,
130,ioNetworks Inc,"Taiwan, Province of China",,,,,,,,,,
131,Urielsoft Co. Ltd,"Korea, Republic of",,,,,,,,,,
132,Korea Identification Inc,"Korea, Republic of",,,,,,,,,,
133,Touchless ID,Spain,,,,,,,,,,
134,Canon Inc,China,,,,,,,,,,
135,Fiberhome Telecommunication Technologies,China,,,,,,,,,,
136,TTI Group,Viet Nam,,,,,,,,,,
137,AFIS and Biometrics Consulting,United States,,,,,,,,,,
138,Mitek Systems,UK,,,,,,,,,,
139,Mobbeel Solutions,Spain,,,,,,,,,,
140,Mukh Technologies,United States,,,,,,,,,,
141,Palit Microsystems,"Taiwan, Province of China",,,,,,,,,,
142,TrueID-VNG,Viet Nam,,,,,,,,,,
143,3Divi,United States,,,,,,,,,,
144,Vision-Box,Portugal,,,,,,,,,,
145,Pentacomp Systemy Informatyczne,Poland,,,,,,,,,,
146,Verihubs,Indonesia,,,,,,,,,,
147,Yuntu Data and Technology,China,,,,,,,,,,
148,Unissey,France,,,,,,,,,,
149,Realnetworks Inc,United States,,,,,,,,,,
150,Openedge Technologies Pvt,India,,,,,,,,,,
151,Taiwan-Certificate Authority Incorporation,"Taiwan, Province of China",,,,,,,,,,
152,AnyVision,United Kingdom,,,,,,,,,,
153,ST Engineering,Singapore,,,,,,,,,,
154,Shenzhen University-Macau University of Science and Technology,China,,,,,,,,,,
155,ALTTEKGlobal,Viet Nam,,,,,,,,,,
156,Advance.AI,Singapore,,,,,,,,,,
157,Coretech Knowledge Inc,"Taiwan, Province of China",,,,,,,,,,
158,Chinese University of Hong Kong,China,,,,,,,,,,
159,Cloudwalk - Hengrui AI Technology,China,,,,,,,,,,
160,Kasikorn Labs,Thailand,,,,,,,,,,
161,Remark Holdings,China,,,,,,,,,,
162,Sodec App Inc,Türkiye,,,,,,,,,,
163,Cyberextruder,United States,,,,,,,,,,
164,Momentum Digital,Thailand,,,,,,,,,,
165,Minivision,China,,,,,,,,,,
166,Reveal Media Ltd,UK,,,,,,,,,,
167,Shenzhen AiMall Tech,China,,,,,,,,,,
168,Su Zhou NaZhiTianDi intelligent technology,China,,,,,,,,,,
169,Xiamen University,China,,,,,,,,,,
170,BioID Technologies SA,Switzerland,,,,,,,,,,
171,Techainer,Viet Nam,,,,,,,,,,
172,Miaxis Biometrics,China,,,,,,,,,,
173,Online Mobile Services JSC,Viet Nam,,,,,,,,,,
174,China Electronics Import-Export Corp,China,,,,,,,,,,
175,Hyundai Motor Company,"Korea, Republic of",,,,,,,,,,
176,Winsense,China,,,,,,,,,,
177,Viettel Cyberspace Center,Viet Nam,,,,,,,,,,
178,Shanghai Yitu Technology,China,,,,,,,,,,
179,Gorilla Technology,"Taiwan, Province of China",,,,,,,,,,
180,Vietnam Payment Solution,Viet Nam,,,,,,,,,,
