id,company,country,year,status,bio,hist,org,media,social,gov,link,clean_link,link_clean_notes,text,processed_link,snapshot_count,first_snapshot,last_snapshot
1,1Kosmos,United States,2016,active (private),,,,,,,https://www.1kosmos.com,https://www.1kosmos.com/,,,https://www.1kosmos.com/,319,5/11/08,9/6/25
2,2060.io,Estonia,,,,,,,,,https://2060.io/,https://2060.io/,,,https://2060.io/,31,10/31/22,7/13/25
3,20Face,Netherlands,,,,,,,,,https://www.20face.com/,https://www.20face.com/,,,https://www.20face.com/,128,5/20/17,8/9/25
4,3DiVi,United States,2011,Private,0,0,1,0,0,0,https://www.3divi.com/,https://3divi.ai/,no strong candidates; using root landing,"3DiVi FACE RECOGNITION SDK. NUITRACK SDK - SKELETAL TRACKING MIDDLEWARE. TVICO - INTERACTIVE ANDROID™ BOX. FACIAL RECOGNITION: API/SDK for software vendors and integrators Real time video or photo processing Detect, analyze and search human faces On premise, cloud, edge or embedded processing. ADVANTAGES: World Class Algorithm Face recognition algorithm developed by 3DiVi is top-ranked according to NIST Face Recognition Vendor Test (FRVT) 2017. Flexibility Single API for on-prem, cloud or completely offline deployment. Optimized algorithms for different platforms. Edge Processing Client apps and front-end data processing components can work locally or completely offline. DIY Option Want to build your own face recognition service like Azure Face API or AWS Rekognition? We have you covered with 3DiVi Face SDK! Body, Object, Behaviour Recognition Enable user segmentation, skeletal tracking, object and intent recognition using other 3DiVi SDKs. Low Cost Simple pricing with no limit on transactions and free support. PRODUCTS: Face SDK, Software components (code libraries) for building face recognition solutions of any complexity - from a simple app to portals like Azure Face API or AWS Rekognition. For experienced software developers; Face Machine, Turn key components with Face API (GraphQL) for real-time video processing: Machine Server (cloud or on premise) and Face Machine Client customizable application. Perfect for system integrators and developers interested in adding face recognition capabilities to their projects; Hardware Bundles, Android device with built-in 3D face recognition. Real Time Video Processing SDK components enable face detection, tracking and matching from video stream in real time. Face Identification and Verification Search for face matches, 1:N identification and 1:1 verification scenarios. Automatic Best Shot Selection and Quality Control Best shot is constantly selected during face tracking, based on face image quality parameters. Face Landmarks Detect size, pitch, roll, yaw, and up to 100 facial landmarks. Gender, Age, Emotions Recognition Detects 4 basic human emotions on photos or video stream. 3D Liveness Feature 3D Liveness protection against photo or video spoofing. World-class Algorithm Face recognition algorithm developed by 3DiVi is top-ranked according to NIST Face Recognition Vendor Test (FRVT) 2017. ""Instantaneous"" Face Recognition Up to 50 000 000 comparisons per second on one CPU core. Our Face recognition algorithm matches 2.6 million faces a second! Real Time Video Processing Face SDK contains components for real time face tracking and recognition on video streams. Cross Platform Support for x86, ARM, ASIC (embedded), Windows, Linux, Android and iOS. Multiple Cameras Support Webcams, IP, IR, wearable cameras, AR glasses, 3D sensors. Flexible Pricing Various licensing options to meet your project ROI requirements. Plug-and-play components for quick deployment Ready-made client and server application for quick deployment of a face recognition system. Offline/edge face recognition No cloud is required, 50 000 000 comparisons per second on one CPU core. Cross platform Support for x86, ARM, ASIC (embedded), Windows, Linux, Android, iOS. Container based architecture Cloud/Edge/on-prem deployment. Integration API support ReST API and GraphQL API support for easy integration with external systems/applications. White label The ability to replicate a solution based on 3DiVi Face Machine under your own brand. COMPONENTS 3DiVi Face Machine includes the Face Machine Server (FMS) and Face Machine Client (FM Client or FMC) application. FMS is available as a cloud or as an on-premise solution. The FM Client can be installed on PC or mobile devices. The FMS and FMC can be integrated with external systems via integration API and can be used by software vendors and integrators for building advanced face recognition solutions. APPLICATION AREAS: Public Safety Instant video processing for video surveillance systems, identification of citizens, checking with control lists of different priority, search in databases, integration with fingerprint records for on-the-spot checks ""on site"", and automated processing of personal documents. Mobile, portable, and wearable hardware and software systems. Banking and Finance Verification of the reliability of borrowers, identification of credit and other fraudsters, confirmation of critical operations, remote identification services (including blockchain based services), person-to-person access to applications, systems, repositories, etc., proctoring services, optimization of banking procedures and operations. Defence and Robotics Machine vision, pattern and object recognition for complex scenarios. Mobile hardware and software systems with high autonomy, identification systems with loadable missions, embedded in wearable equipment and weapons. Access Control Enhance business, home or car security by matching visitors with the whitelist and blacklist database. Time and Attendance Systems Recording employee time using authorization and authentication systems with the built-in facial recognition technology. Retail and Digital Signage Automatic recognition of customers in the shopping area, the implementation of contactless payment systems and loyalty programs, audience analytics (gender, age, emotions), Digital Signage. Face recognition Face identification (1:N) in real time. Recognition is done inside of the Terminal (offline). Standalone or network modes The Terminal can work as part of a network, connected to the central server, or in standalone mode. Checklists can be loaded from the server or directly into the Terminal s memory. Multi-factor authentication Various scenarios of multi-factor authentication: ""face +NFC smart card"", ""face + password"" or ""face + Digital ID"". 3D Liveness Industry leading protection against photo or video spoofing (similar technology is used in Apple iPhone X). API for developers Integrators can develop their own solutions based on the software components embedded in the Terminal (3DiVi Face Machine) using the provided API. Digital ID Possible integration with popular Digital ID services or ""digital passports"", which can be a source of user identification data and interact with the user in dialogue mode to control data exchange with the Terminal. APPLICATION AREAS: Access Control 3DiVi Face Recognition Terminal can be part of access control systems.The ability to work offline (checklists can be loaded directly into the Terminal s memory) allows you to install the Terminal at any place even with no permanent connection to the Internet. Check-in Kiosk 3DiVi Face Recognition Terminal can be used as a Self-Service kiosk for registration of visitors, where they can independently, without staff participation, scan the face and enter other data for the registration (name, purpose of visit, etc.). Payment Terminals (Pay-by-Face), Loyalty Programs Customers no longer need to carry cash, loyalty cards or an ID card to make purchases or receive services. Time and Attendance systems 3DiVi Face Recognition Terminal can be used to register the time of arrival/departure of employees. WHY CHOOSE SEEMETRIX? Know your customer KNOW YOUR CUSTOMER Count people and detect their gender, age, emotions and attention time. Best Value BEST VALUE All features from 66 cents a day. Cross-platform CROSS-PLATFORM Use Android, Linux, Windows systems of your choice. 100% anonymous 100% ANONYMOUS No screenshots or video are ever saved. Hardware independent HARDWARE INDEPENDENT Use existing devices, low powered supported. World s leading Face Tracking algorithm inside WORLD S LEADING FACE TRACKING ALGORITHM INSIDE Requires up to 45% less processing power. AUDIENCE ANALYTICS FOR DIGITAL SIGNAGE Increase the efficiency of advertising on any DS screen by collecting key information about viewers: number of viewers, their gender, age group and emotions, attention time. Make each ad personal by showing targeted commercials. Check the statistics online anytime and anywhere you need it. AUDIENCE ANALYTICS FOR RETAIL. Real time trigger capability (requires CMS integration) Complete respect for individual privacy 100% anonymous collected data Supports standard webcam Versions for Android, Linux, Windows Cloud service Effortless integration. 3D BODY (SKELETAL) TRACKING MIDDLEWARE NUITRACK SDK. 3D sensor independent, OpenNI compatible, Unmatched quality, Cross-platform. Full Body Skeletal Tracking User masks 3D point cloud Gesture recognition Face tracking. Interactive Android™ BoxUltimate platform to build and sell applications with full body and face interactivity. The best Kinect replacement solution. 3D point cloudFree Nuitrack SDKUser masksWirelessGesture recognitionHDMIFull body tracking RGB & depth sensor. Unity and Unreal Engine plugins. 3D Face Recogniton for Telegram Passport Decentralized Service for TON and other blockchains. What is Telegram Passport? Telegram Passport is a new type of Digital ID that can be shared with any service requiring identification. Unlike a traditional ID which is owned, stored and controlled by an intermediary (such as Google, Facebook, or the government), Telegram Passport is owned and controlled only by customer and stored securely on a decentralized ledger in a way that no third party can tamper with it. Telegram Passport is the key component of Telegram Open Network (TON) blockchain. When TON and other similar projects go live in 2019-2020, Digital IDs will be coupled with digital wallets. Using our service, business entities will be able to provide personalized and secure checkout experience (human-free). Know Your Customers We offer Decentralized Service running on Telegram Open Network (TON) to let any business entity instantly recognize the faces of their customers (holders of Digital ID) in a fast, accurate and cost effective way. Based on Free TON Infrastructure Service uses free TON infrastructure for storing, managing of Digital IDs, Bot service to enable secure data exchange between customers, business entity and 3DiVi software components. Best in Class Face Recognition Algorithm Algorithm developed by 3DiVi is top-ranked, according in NIST Face Recognition Vendor Test (FRVT) 2017. Optional 3D liveness feature to protect against photo or video spoofing. Similar technology is used in iPhone X. ""Two Factor Authentication"" by Design Provide peace of mind to your customers with zero expense. No recognition event is triggered until person confirms it via Telegram message. White Labeled Key components of solution are available as open source and can be white labeled to ensure maximum transparency of its operation. GDPR Compliance Personal data is stored by customers on the secured blockchain platform TON. Our software components do not store any non-encrypted personal data. Personal data is encrypted by business entity with whom customer shared her Digital ID, 3DiVi does not have access to these data. No Coins The project does not require any coins and no ICO is planned. Use Cases How 3DiVi Face Recognition for Telegram Passport may help your business grow. Banking & Finance Online payments and other remote currency transactions, including cryptocurrency exchange, become even faster and safer thanks to face recognition technology. Transport Notify passengers of boarding time for flight via messenger and build communications. Offer a new level of comfort and safety. Analyze passenger flows and improve the efficiency of your business. Retail Increase sales by developing loyalty programs and personal services. Increase the efficiency of your business by analyzing the purchase history and preferences of your customers. Hotels & Tourism Your guests will be able to quickly check-in and check-out or use additional services without spending precious time of their vacation on unnecessary actions. Bars & Restaurants Now your regular customers no longer need to carry hundreds of plastic cards to get a discount or take documents to buy alcohol. Advertising Analyze the effectiveness of offline advertising and improve its quality. Collect and analyze data on emotional response to advertising. ABOUT Founded in 2011, 3DiVi Inc. is a software development company in the area of computer vision, AI and deep learning. Our computer vision algorithms cover skeletal tracking (full body, fingers), face recognition, spatial orientation and object recognition. 7 years in AI algorithms development 20+ engineers 200+ customers. A distinctive feature of our algorithms is the support of both standard (RGB) and depth sensors (RGBD), along with the performance optimization for low-powered mobile and embedded applications. With customers like Intel, LG, Orbbec, and Orange, we work to enable human-machine interface (HMI) to a wide range of edge devices and applications in AR, digital health, smart home, IoT, smart car, digital identity and robotics. MESSAGE FROM CEO "" We are a team of data scientists and software developers with the passion to create the world s leading human perception algorithms. We are 100% team owned and profitable. Customers choose us not because we are a fancy VC backed AI startup, but because our products do deliver superior quality at a fair price. I invite you to test our solutions, I hope that you like it. Dmitry Morozov 3DiVi CEO. WHY 3DiVi Several reasons why companies around the world choose 3DiVi over other Face Recognition providers: Video processing is our strength Cut time to market by using our turn-key edge components and enterprise server for real-time video processing. Edge computing approach As the computing industry moves from Intelligent Cloud to Intelligent Edge, we are already at the Edge! Take advantage of instantaneos face recognition on any platform (embedded, IoT, desktop or server) with no cloud or Internet connectivity required! Deployment versatility Our server component can be placed on any cloud (Azure, Google Cloud, AWS) or stay on-prem with no Internet connectivity requirement. Containerized approach accelerates time to market for your face recognition application. Quality Our customers repeatedly highlight the speed and quality of our algorithms for real-time video processing. Read case studies to learn more. Small IoT device or high-load server application, we have seven different algorithms to cover them all. Access to low-level libraries Need just one feature of face processing? Take advantage of our Face SDK to build anything from a simple app to something like Azure Face API or AWS Rekognition Portal! Earn more with 3DiVi Comparing the transaction fees, prices are at least 20% lower than Azure and AWS. Save up to 90% on video processing - another great benefit is that edge transactions are not accounted for!",,,,
5,3M,United States,1902,active,,,,,,,https://www.3m.com,https://www.3m.com/,,,https://www.3m.com/,17815,10/23/96,12/2/25
6,878TEN,United States,2015,Private,1,0,1,0,0,0,http://www.878ten.com,https://www.878ten.com/,site unreachable (used root),"The world s only Universal Digital Identifier. A single number can now connect any amount of digital elements to create simple, secure and future-proof digital ecosystems around people, entities and things. Unique: The 878TEN number range is a unique Numbering, Naming, Addressing and Identification ecosystem that is both flexible and future-proof. Issued by the UN s International Telecommunication Union (ITU), there is nothing like it now and there is unlikely to be anything like it in the foreseeable future. Universal: 878TEN numbers work simultaneously across the IP world - as Universal Digital Identifiers - and the telephony world - as global mobile telephone numbers. They can be used anywhere and will support any future systems that rely upon digital identity. Ubiquitous: 878TEN numbers are  smart labels  that can be assigned to anything: people, organisations, devices, documents, products, cars, drones, properties, animals - you name it, 878TEN can identify it. Scalable: Ten billion 878TEN numbers are immediately available with the potential to extend the range to one trillion (1,000 billion). Secure: 878TEN uses DNSSEC, the secure form of DNS. It enables world-leading identity verification and integrates with the latest high security Internet technologies such as Blockchain and RINA as well as biometric and biographic identity technologies. 878TEN in the new digital economy: Everyone s digital world is expanding at warp speed. Currently, the only way to connect a diverse digital ecosystem is for each third party independently to hold sensitive personal data, compromising both privacy and security. 878TEN holds virtually no personal data and uses pointers to enable you to simply and securely link your entire digital ecosystem and keep control of your digital world. What s in it for end-users? The beginning of the end of remembering multiple login IDs and passwords. Owning, controlling and potentially monetising your personal data. Low or no cost telephony for the whole world. A simpler, more secure and more trusted Internet experience. Because 878TEN can connect to any digital element, it supports trusted digital relationships by bringing into play world-leading identity technologies, such as multi-factor biometric verification (facial recognition, iris scans, etc.). The user of an 878TEN UDI chooses which data linked to that number is available in the public domain and who can access the private data sets. Dramatic improvements in technology, sensors and networks are fast-tracking the deployment of IoT across the global economy. 878TEN is the world s only Universal Personal Telecommunications range. It is a global number range that is part of the E.164 international telephone number system. Think of +87810 as a country code for the entire planet. Purpose: To make everyone s digital world a simpler, more secure place; where passwords are history and people own and control their personal data. Ambition: To accelerate the trust and growth of the global digital economy and to enable the world s first borderless mobile telephony network. Future: Every person on the planet and billions of connected devices will have 878TEN Universal Digital Identifiers connecting their digital ecosystems. 878TEN supports VISIONng s worldwide deployment and global adoption of the 878TEN number range. 878TEN assists VISIONng with the development and management of the 878TEN ecosystem. 878TEN companies have been established in Australia, the UK and the USA. Our senior team has many years experience at the highest levels of Telecommunications, Technology, Finance, Privacy & Integrity, Sales, Law and Marketing. We are currently identifying additional talent in preparation for rapid upscaling in the near future.",,,,
7,A3BC,France,,,,,,,,,https://www.a3bc.io/,https://www.a3bc.io/,,,https://www.a3bc.io/,55,11/25/21,9/9/25
8,ABBYY,Russian Federation,1989,active,,,,,,,https://www.abbyy.com,https://www.abbyy.com/,,,https://www.abbyy.com/,3453,1/16/99,10/11/25
9,Ability Enterprise - Andro Video,"Taiwan, Province of China",,,,,,,,,https://www.abilitytw.com/,https://www.abilitytw.com/,,,https://www.abilitytw.com/,8,7/20/25,10/1/25
10,AboutTimeTechnologies,United States,2003,Private,0,1,1,1,0,0,https://www.abouttimetech.com/,https://www.abouttimetech.com/,,"TRACK AND MANAGE LABOR, ASSETS, FORMS AND PRODUCTIVITY IN ONE ALL INCLUSIVE SOLUTION. ABOUTTIME Since 2003, AboutTime has been helping businesses with a mobile workforce leverage technology to eliminate paper and automate inefficient processes. Our mission is to help your team better manage mobile and remote labor, productivity, assets, forms and resources. Connect your operations for complete visibility, increased accuracy and amazing gains through automation. AboutTime is an all-inclusive, on premise resource management solution that is configurable to your business. productivity gray 01 PRODUCTIVITY Tracking labor electronically opens the door for accurately measuring current productivity of your mobile workforce as it happens daily. As workers punch IN and OUT, accurate man hours, units used/completed and productivity metrics can be gathered. Productivity results stream into your office so management always knows where you re at before it s too late. Take resource management to the next level by capturing job photos, field notes, GPS, auto-tracking site weather conditions AND seeing complete productivity results. Assets ASSETS Reduce asset theft, extend asset life and know exactly who has what and where your assets are at all times. AboutTime s asset management helps your mobile and remote workforce collect accurate real-time or after-the-fact equipment use with location and assignment of equipment. Maintain a documented history of your assets, tools and equipment as they are assigned and re-assigned within your company. Time TIME Mobile workers can better track time, labor and productivity, more accurately... in mere seconds. Multiple real-time and after-the-fact workflows are supported. No Service? No problem as workers can punch IN and OUT anywhere then sync up later. Workers can punch IN individually or supervisors can punch IN an entire crew. Mobile workers can even punch IN on one mobile device, then OUT on another and the system will tie it altogether, allow for sign offs, capture GPS, calculate unique overtime rules and more. Forms FORMSXPRESS Electronic forms help your mobile, remote and local teams quickly capture custom form information right on their mobile device, anytime, anywhere. Digital forms can be sent to the office immediately or later. Your mobile workforce can not only go paperless, now they can capture rich form data that is impossible with paper or spreadsheets, including accurate documentation, GPS, photos and video. No service? No problem. You can fill in forms offline, then sync up later. Go paperless and gain unlimited, accurate and legible electronic forms. Integration 1 INTEGRATION Eliminate manual data entry, reduce payroll processing time and drastically increase accuracy on Payday. One of AboutTime s greatest strengths is the ability to tightly integrate accurate data directly with your accounting, ERP or other business systems. Accurate mobile and remote data streams into the ControlCenter as it happens. Payroll admins and office staff can then review and approve accurate records to be sent to accounting. WELCOME TO COMPLETE RESOURCE MANAGEMENT. ELIMINATE LOSS INCREASE AUTOMATION CONNECT OPERATIONS Arm your workforce with the tools to eliminate mis-reported time, form documentation errors, manual data entry mistakes, productivity loss and paper inefficiencies. Easily capture time, forms, assets and productivity data electronically to increase efficiency and automation from mobile data collection... to data delivery... to data entry. Connect all of your mobile, remote and local teams and gain completely accurate visibility over your network of field operations. Know where you re at on all projects at all times. ACCURACY AND AUTOMATION FOR YOUR WORKFORCE Shuffling paper and spreadsheets in the field is costing your business time and money. There is a BETTER, more ACCURATE and more EFFICIENT way. WORK SMARTER FROM YOUR LAPTOP TABLET OR PHONE ON THE GO laptop 01 Mobile workers with a laptop can capture accurate data with the AboutTime Windows TouchCenter application or with the AboutTime webclock. The TouchCenter application even allows for employee biometric authentication. All employee/job restrictions are honored so your mobile workforce only sees what is relevant to them. ipad 02 01 Tablets with or without a data plan work with AboutTime. With a data plan workers can transfer collected data as it happens. If the tablet is without service or a WiFi-only tablet, no problem. Mobile workers can capture accurate data then sync up over WiFi later. All employee/job restrictions are honored so your mobile workforce only sees what is relevant to them. iphone 02 01 Conected smartphones allow for immediate data transfer and the most current rich field information including GPS time stamp locations, field notes, photos, audio, video and more can be captured and transferred to the office right from the mobile device. AboutTime offers native iOS and Android applications so your mobile workforce can work anytime, anywhere. SIMPLE IN THE FIELD... POWERFUL IN THE OFFICE! AboutTime mobile time tracking and real-time resource management solutions greatly increase efficiencies in managing a mobile workforce. Automation starts with tracking time and attendance (labor costs) accurately. AboutTime helps your team capture accurate field data to streamline payroll and provide your supervisors with powerful real-time visibility. Now your team can see and know current information at all times, helping make critical decisions quicker, as it happens. Choosing a competent and scalable time and attendance system is the key to accurately managing remote labor costs, field production and true job/project costs. AboutTime s field data analytics, reports and visual dashboards provide complete and current visibility of progress in the field virtually as it happens. Many software systems simply track labor. AboutTime helps you track true field operations in real-time. Eliminate cumbersome time sheets, forms and daily logs and start capturing field data with real-time accuracy that will absolutely revolutionize your business. We invite you to learn new possibilities of how quickly AboutTime can improve automation and efficiency in your company. Employee TIME Tracking: INCREASE ACCURACY, EFFICIENCY AND AUTOMATION ACROSS YOUR WORKFORCE. Mobile PRODUCTIVITY: SEE ACCURATE, CURRENT WORKFORCE PERFORMANCE METRICS. ASSET and EQUIPMENT MANAGEMENT: TRACK  ASSIGNMENT AND USAGE OF YOUR MOBILE ASSETS. FORMSXPRESS: SKIP THE CLIPBOARD, CAPTURE ELECTRONIC FORMS. WorkMax is our new fully web-based resource management platform of AboutTime Technologies, LLC. WorkMax is designed to serve customers that prefer a modular, web-based mobile resource management solution. A top-notch team of professional designers, engineers and industry professionals with vast experience in mobile resource management have worked through all the little details, ensuring all modules are intuitive, simple and consistent. The end result is a powerful and user-friendly web based resource management platform. Our mission is to help your team manage labor, assets, forms and company resources as simply as possible. The workforce management market today is filled with unnecessary layers of complexity and costly implementations. AboutTime is known as being the best of breed on-premise resource management solution, WorkMax is our new best of breed web-based platform. boutTime has been the leader in enterprise mobile resource management since 2003. Whether your company operations are local or remote, AboutTIme helps your business connect, track and manage mobile resources. The AboutTime enterprise product is an all-inclusive, scalable and configurable solution for managing your labor, productivity, assets and forms. Our mission is simply to help your teams leverage technology to make your business more profitable. OUR STORY, VISION and MISSION TO REVOLUTIONIZE RESOURCE MANAGEMENT: SINCE 2003 In 2003 AboutTime set out to help businesses track and capture accurate field data, deliver it to the office quickly, manage the data efficiently and finally, to better feed other business systems this accurate data. AboutTime knows mobile data collection, we have specialized in mobile resource solutions before Apple and Android devices or apps existed, in fact early customers ran AboutTime ""apps"" on PALM pilots, BLACKBERRY and even early WINDOWS (Pocket PC) mobile devices. AboutTime has delivered powerful resource management solutions to our customers for well over a decade. A VISION TO HELP CUSTOMERS arrow rightGain accurate time and labor data for paychecks, invoices and true job costs. arrow rightMoney-makers in the field can stop pushing paper and focus on what they do well. arrow rightOffice staff can complete payroll, job costing and billing in a fraction of the time. arrow rightContinue to leverage technology in order to eliminate waste and increase profits. Our mission is to help your teams better manage mobile, remote and local labor, productivity, assets, forms and connect your business resources. AboutTime can help you streamline operations from field to office so data is captured as it happens with complete accuracy. AboutTime is an all-inclusive, resource mangement solution that is configurable to your business. Call us today to see how our mobile workforce solutions can help your business grow and thrive in the future. AboutTime Privacy Policy: Protecting your privacy is important to AboutTime Technologies. We strive to keep your personal information confidential. By ensuring that you are aware of and understand the AboutTime Technologies  Privacy Policy, we can provide you with better service. Please take a moment to read the following policy to learn how we handle your personal information. Our commitment to privacy: To make sure your personal information remains confidential, we communicate these privacy guidelines to every AboutTime Technologies employee. AboutTime Technologies does not knowingly solicit personal information from children or send them requests for personal information.  AboutTime Technologies  websites may contain links to other websites. AboutTime Technologies does not share your personal information with those websites, except to the extent required to deliver services from those websites, and is not responsible for their privacy practices. We encourage you to learn about the privacy policies of those companies. If we are going to use your personal information differently from that stated at the time of collection, we will try to contact you via email using the most recent information we have. If you have not given us permission to communicate with you, you will not be contacted, nor will we use your personal information in a new manner. The AboutTime Technologies Customer Privacy Policy is subject to change at any time. We encourage you to review the privacy policy at www.abouttimetech.com regularly for any changes.",https://www.abouttimetech.com/,186,4/6/05,10/2/24
