id,company,country,year,status,bio,hist,org,media,social,gov,link,clean_link,link_clean_notes,text,processed_link,snapshot_count,first_snapshot,last_snapshot
560,Kogniza Technology,United States,2021,active,,,,,,,https://www.kogniza.us/face,https://www.kogniza.us/,"canonical, og:url, nav ""home"", nav ""home"", nav ""home"" | needs manual review",,,,,
561,Konami,Japan,2019,active,,,,,,,https://www.konami.com/,https://www.konami.com/,,,https://www.konami.com/,1062,11/8/96,7/6/24
562,Kookmin University,"Korea, Republic of",2019,,,,,,,,https://ailab.kookmin.ac.kr/about-5,https://ailab.kookmin.ac.kr/,"canonical, og:url, nav ""home"" | needs manual review",,,,,
563,Korea Identification Inc,"Korea, Republic of",1995,,,,,,,,https://www.korea-id.co.kr/eng/main.php,https://www.korea-id.co.kr/index.php,"logo link, nav ""home"", nav ""home""",,,,,
564,Kriosk,,,,,,,,,,https://kriosk.com/,https://kriosk.com/,,,https://kriosk.com/,36,6/25/20,12/12/24
565,Krungthai,Thailand,2023,,,,,,,,https://krungthai.com/en/sustainability/solution/customer-experience,https://krungthai.com/,no strong candidates; using root landing,,,,,
566,KuKe3D Technology,China,,,,,,,,,,,,,,,,
567,KYB-AI Ltd,United Kingdom,2024,,,,,,,,https://kby-ai.com/,https://kby-ai.com/,,,https://kby-ai.com/,44,7/24/23,8/10/25
568,Kycaid,United Kingdom,2018,,,,,,,,https://kycaid.com/,https://kycaid.com/,,,https://kycaid.com/,153,8/13/20,10/10/25
569,Lambda Labs,United States,2012,,,,,,,,https://lambdalabs.com/,https://lambda.ai/,no strong candidates; using root landing,,,,,
570,Langate,United States,1996,,,,,,,,https://langate.com/,https://langate.com/,,,https://langate.com/,147,5/23/98,8/1/25
